Stasiun,Curah Hujan,Latitude,Longitude
FL Tobing,0,1.55312,98.89738
FL Tobing,74.8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.3,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0.6,1.55312,98.89738
FL Tobing,4.5,1.55312,98.89738
FL Tobing,4.6,1.55312,98.89738
FL Tobing,9.5,1.55312,98.89738
FL Tobing,28.8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,22.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,4.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,32.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,3.1,1.55312,98.89738
FL Tobing,14.6,1.55312,98.89738
FL Tobing,10.6,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,112,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,2.6,1.55312,98.89738
FL Tobing,83,1.55312,98.89738
FL Tobing,32.8,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,42.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,7.7,1.55312,98.89738
FL Tobing,39.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,5,1.55312,98.89738
FL Tobing,3.5,1.55312,98.89738
FL Tobing,31.6,1.55312,98.89738
FL Tobing,8,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,13,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.6,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.5,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,38.7,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,40.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,8.2,1.55312,98.89738
FL Tobing,40.6,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,3.4,1.55312,98.89738
FL Tobing,81.7,1.55312,98.89738
FL Tobing,13.3,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,10,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,8.2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,35,1.55312,98.89738
FL Tobing,26.8,1.55312,98.89738
FL Tobing,1.3,1.55312,98.89738
FL Tobing,1.6,1.55312,98.89738
FL Tobing,5.9,1.55312,98.89738
FL Tobing,11.5,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,21.7,1.55312,98.89738
FL Tobing,23.7,1.55312,98.89738
FL Tobing,59,1.55312,98.89738
FL Tobing,21.4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.9,1.55312,98.89738
FL Tobing,2,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,4,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,0,1.55312,98.89738
FL Tobing,1.6,1.55312,98.89738
FL Tobing,7.1,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,103.9,1.55312,98.89738
FL Tobing,6,1.55312,98.89738
FL Tobing,20.5,1.55312,98.89738
FL Tobing,30.3,1.55312,98.89738
FL Tobing,1,1.55312,98.89738
FL Tobing,25.3,1.55312,98.89738
FL Tobing,21.6,1.55312,98.89738
